goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkCBCEncrypt/016B-8         	 1504981	       786.4 ns/op	  20.34 MB/s	     896 B/op	      13 allocs/op
BenchmarkCBCEncrypt/016B-8         	 1495364	       787.5 ns/op	  20.32 MB/s	     896 B/op	      13 allocs/op
BenchmarkCBCEncrypt/016B-8         	 1523256	       793.9 ns/op	  20.15 MB/s	     896 B/op	      13 allocs/op
BenchmarkCBCEncrypt/016B-8         	 1495996	       787.7 ns/op	  20.31 MB/s	     896 B/op	      13 allocs/op
BenchmarkCBCEncrypt/016B-8         	 1520208	       796.9 ns/op	  20.08 MB/s	     896 B/op	      13 allocs/op
BenchmarkCBCEncrypt/016B-8         	 1511503	       791.3 ns/op	  20.22 MB/s	     896 B/op	      13 allocs/op
BenchmarkCBCEncrypt/016B-8         	 1525819	       798.3 ns/op	  20.04 MB/s	     896 B/op	      13 allocs/op
BenchmarkCBCEncrypt/016B-8         	 1504131	       803.3 ns/op	  19.92 MB/s	     896 B/op	      13 allocs/op
BenchmarkCBCEncrypt/016B-8         	 1391046	       851.3 ns/op	  18.79 MB/s	     896 B/op	      13 allocs/op
BenchmarkCBCEncrypt/016B-8         	 1305468	      1031 ns/op	  15.52 MB/s	     896 B/op	      13 allocs/op
BenchmarkCBCEncrypt/064B-8         	 1000000	      1063 ns/op	  60.22 MB/s	    1040 B/op	      12 allocs/op
BenchmarkCBCEncrypt/064B-8         	 1342581	       885.0 ns/op	  72.31 MB/s	    1040 B/op	      12 allocs/op
BenchmarkCBCEncrypt/064B-8         	 1341042	       893.1 ns/op	  71.66 MB/s	    1040 B/op	      12 allocs/op
BenchmarkCBCEncrypt/064B-8         	 1348995	       897.3 ns/op	  71.32 MB/s	    1040 B/op	      12 allocs/op
BenchmarkCBCEncrypt/064B-8         	 1362968	       881.3 ns/op	  72.62 MB/s	    1040 B/op	      12 allocs/op
BenchmarkCBCEncrypt/064B-8         	 1343527	       921.2 ns/op	  69.47 MB/s	    1040 B/op	      12 allocs/op
BenchmarkCBCEncrypt/064B-8         	 1333964	       898.1 ns/op	  71.26 MB/s	    1040 B/op	      12 allocs/op
BenchmarkCBCEncrypt/064B-8         	 1344403	       893.5 ns/op	  71.63 MB/s	    1040 B/op	      12 allocs/op
BenchmarkCBCEncrypt/064B-8         	 1343656	       907.5 ns/op	  70.53 MB/s	    1040 B/op	      12 allocs/op
BenchmarkCBCEncrypt/064B-8         	 1344168	       888.1 ns/op	  72.07 MB/s	    1040 B/op	      12 allocs/op
BenchmarkCBCEncrypt/128B-8         	 1000000	      1036 ns/op	 123.51 MB/s	    1424 B/op	      12 allocs/op
BenchmarkCBCEncrypt/128B-8         	 1000000	      1018 ns/op	 125.76 MB/s	    1424 B/op	      12 allocs/op
BenchmarkCBCEncrypt/128B-8         	 1000000	      1030 ns/op	 124.33 MB/s	    1424 B/op	      12 allocs/op
BenchmarkCBCEncrypt/128B-8         	 1000000	      1031 ns/op	 124.18 MB/s	    1424 B/op	      12 allocs/op
BenchmarkCBCEncrypt/128B-8         	 1000000	      1026 ns/op	 124.78 MB/s	    1424 B/op	      12 allocs/op
