goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkCCMDecrypt/016B-8         	 4583642	       283.3 ns/op	  56.47 MB/s	     656 B/op	       7 allocs/op
BenchmarkCCMDecrypt/016B-8         	 3816352	       334.9 ns/op	  47.77 MB/s	     656 B/op	       7 allocs/op
BenchmarkCCMDecrypt/016B-8         	 4014595	       257.9 ns/op	  62.04 MB/s	     656 B/op	       7 allocs/op
BenchmarkCCMDecrypt/016B-8         	 4812241	       263.4 ns/op	  60.75 MB/s	     656 B/op	       7 allocs/op
BenchmarkCCMDecrypt/016B-8         	 4567986	       268.4 ns/op	  59.60 MB/s	     656 B/op	       7 allocs/op
BenchmarkCCMDecrypt/016B-8         	 4722400	       281.2 ns/op	  56.89 MB/s	     656 B/op	       7 allocs/op
BenchmarkCCMDecrypt/016B-8         	 4285820	       284.6 ns/op	  56.22 MB/s	     656 B/op	       7 allocs/op
BenchmarkCCMDecrypt/016B-8         	 4367450	       275.2 ns/op	  58.14 MB/s	     656 B/op	       7 allocs/op
BenchmarkCCMDecrypt/016B-8         	 3963874	       269.2 ns/op	  59.43 MB/s	     656 B/op	       7 allocs/op
BenchmarkCCMDecrypt/016B-8         	 4762221	       279.3 ns/op	  57.29 MB/s	     656 B/op	       7 allocs/op
BenchmarkCCMDecrypt/064B-8         	 3399684	       366.1 ns/op	 174.82 MB/s	     752 B/op	       7 allocs/op
BenchmarkCCMDecrypt/064B-8         	 3144630	       344.1 ns/op	 185.98 MB/s	     752 B/op	       7 allocs/op
BenchmarkCCMDecrypt/064B-8         	 3536517	       355.9 ns/op	 179.84 MB/s	     752 B/op	       7 allocs/op
BenchmarkCCMDecrypt/064B-8         	 3622320	       348.9 ns/op	 183.42 MB/s	     752 B/op	       7 allocs/op
BenchmarkCCMDecrypt/064B-8         	 3434486	       345.4 ns/op	 185.27 MB/s	     752 B/op	       7 allocs/op
BenchmarkCCMDecrypt/064B-8         	 2884434	       354.6 ns/op	 180.49 MB/s	     752 B/op	       7 allocs/op
BenchmarkCCMDecrypt/064B-8         	 3386740	       355.9 ns/op	 179.83 MB/s	     752 B/op	       7 allocs/op
BenchmarkCCMDecrypt/064B-8         	 3431022	       343.7 ns/op	 186.21 MB/s	     752 B/op	       7 allocs/op
BenchmarkCCMDecrypt/064B-8         	 3602325	       367.3 ns/op	 174.25 MB/s	     752 B/op	       7 allocs/op
BenchmarkCCMDecrypt/064B-8         	 3017599	       390.5 ns/op	 163.91 MB/s	     752 B/op	       7 allocs/op
BenchmarkCCMDecrypt/256B-8         	 1726437	       868.7 ns/op	 294.70 MB/s	    1152 B/op	       7 allocs/op
