goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkCCMEncrypt/016B-8         	 4242092	       275.7 ns/op	  58.03 MB/s	     672 B/op	       7 allocs/op
BenchmarkCCMEncrypt/016B-8         	 4445234	       272.4 ns/op	  58.74 MB/s	     672 B/op	       7 allocs/op
BenchmarkCCMEncrypt/016B-8         	 4396538	       266.2 ns/op	  60.10 MB/s	     672 B/op	       7 allocs/op
BenchmarkCCMEncrypt/016B-8         	 4586478	       265.2 ns/op	  60.33 MB/s	     672 B/op	       7 allocs/op
BenchmarkCCMEncrypt/016B-8         	 4276830	       277.1 ns/op	  57.74 MB/s	     672 B/op	       7 allocs/op
BenchmarkCCMEncrypt/016B-8         	 4368166	       266.6 ns/op	  60.01 MB/s	     672 B/op	       7 allocs/op
BenchmarkCCMEncrypt/016B-8         	 4526338	       272.9 ns/op	  58.63 MB/s	     672 B/op	       7 allocs/op
BenchmarkCCMEncrypt/016B-8         	 4173313	       363.8 ns/op	  43.98 MB/s	     672 B/op	       7 allocs/op
BenchmarkCCMEncrypt/016B-8         	 3785282	       327.8 ns/op	  48.82 MB/s	     672 B/op	       7 allocs/op
BenchmarkCCMEncrypt/016B-8         	 3476174	       327.8 ns/op	  48.82 MB/s	     672 B/op	       7 allocs/op
BenchmarkCCMEncrypt/064B-8         	 3052588	       358.4 ns/op	 178.58 MB/s	     768 B/op	       7 allocs/op
BenchmarkCCMEncrypt/064B-8         	 3344814	       422.2 ns/op	 151.57 MB/s	     768 B/op	       7 allocs/op
BenchmarkCCMEncrypt/064B-8         	 3519741	       353.0 ns/op	 181.28 MB/s	     768 B/op	       7 allocs/op
BenchmarkCCMEncrypt/064B-8         	 3510102	       353.6 ns/op	 181.01 MB/s	     768 B/op	       7 allocs/op
BenchmarkCCMEncrypt/064B-8         	 3492174	       364.1 ns/op	 175.80 MB/s	     768 B/op	       7 allocs/op
BenchmarkCCMEncrypt/064B-8         	 3028142	       401.4 ns/op	 159.45 MB/s	     768 B/op	       7 allocs/op
BenchmarkCCMEncrypt/064B-8         	 3441184	       343.6 ns/op	 186.25 MB/s	     768 B/op	       7 allocs/op
BenchmarkCCMEncrypt/064B-8         	 3395194	       346.6 ns/op	 184.66 MB/s	     768 B/op	       7 allocs/op
BenchmarkCCMEncrypt/064B-8         	 3547228	       344.5 ns/op	 185.76 MB/s	     768 B/op	       7 allocs/op
