goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkCCMEncrypt/016B-8         	 4384798	       255.7 ns/op	  62.57 MB/s	     672 B/op	       7 allocs/op
BenchmarkCCMEncrypt/016B-8         	 4845625	       249.3 ns/op	  64.17 MB/s	     672 B/op	       7 allocs/op
BenchmarkCCMEncrypt/016B-8         	 4865127	       251.9 ns/op	  63.51 MB/s	     672 B/op	       7 allocs/op
BenchmarkCCMEncrypt/016B-8         	 4777824	       247.9 ns/op	  64.55 MB/s	     672 B/op	       7 allocs/op
BenchmarkCCMEncrypt/016B-8         	 4908268	       247.3 ns/op	  64.71 MB/s	     672 B/op	       7 allocs/op
BenchmarkCCMEncrypt/016B-8         	 4774222	       248.7 ns/op	  64.33 MB/s	     672 B/op	       7 allocs/op
BenchmarkCCMEncrypt/016B-8         	 4856864	       251.7 ns/op	  63.56 MB/s	     672 B/op	       7 allocs/op
BenchmarkCCMEncrypt/016B-8         	 4812468	       257.4 ns/op	  62.15 MB/s	     672 B/op	       7 allocs/op
BenchmarkCCMEncrypt/016B-8         	 4842825	       249.1 ns/op	  64.23 MB/s	     672 B/op	       7 allocs/op
BenchmarkCCMEncrypt/016B-8         	 4935649	       250.2 ns/op	  63.94 MB/s	     672 B/op	       7 allocs/op
BenchmarkCCMEncrypt/064B-8         	 3763129	       319.0 ns/op	 200.60 MB/s	     768 B/op	       7 allocs/op
BenchmarkCCMEncrypt/064B-8         	 3705300	       318.2 ns/op	 201.13 MB/s	     768 B/op	       7 allocs/op
BenchmarkCCMEncrypt/064B-8         	 3789031	       318.4 ns/op	 201.02 MB/s	     768 B/op	       7 allocs/op
BenchmarkCCMEncrypt/064B-8         	 3710840	       323.0 ns/op	 198.12 MB/s	     768 B/op	       7 allocs/op
BenchmarkCCMEncrypt/064B-8         	 3592215	       321.6 ns/op	 199.03 MB/s	     768 B/op	       7 allocs/op
BenchmarkCCMEncrypt/064B-8         	 3813271	       337.5 ns/op	 189.62 MB/s	     768 B/op	       7 allocs/op
BenchmarkCCMEncrypt/064B-8         	 3598852	       339.6 ns/op	 188.48 MB/s	     768 B/op	       7 allocs/op
BenchmarkCCMEncrypt/064B-8         	 3013524	       378.5 ns/op	 169.07 MB/s	     768 B/op	       7 allocs/op
BenchmarkCCMEncrypt/064B-8         	 2907004	       346.6 ns/op	 184.66 MB/s	     768 B/op	       7 allocs/op
BenchmarkCCMEncrypt/064B-8         	 3810279	       318.3 ns/op	 201.09 MB/s	     768 B/op	       7 allocs/op
BenchmarkCCMEncrypt/128B-8         	 2898428	       426.9 ns/op	 299.84 MB/s	     896 B/op	       7 allocs/op
BenchmarkCCMEncrypt/128B-8         	 2826980	       421.9 ns/op	 303.41 MB/s	     896 B/op	       7 allocs/op
