goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkCCMEncrypt/016B-8         	 4554498	       297.9 ns/op	  53.70 MB/s	     688 B/op	       8 allocs/op
BenchmarkCCMEncrypt/016B-8         	 3347799	       318.4 ns/op	  50.25 MB/s	     688 B/op	       8 allocs/op
BenchmarkCCMEncrypt/016B-8         	 3487602	       347.2 ns/op	  46.08 MB/s	     688 B/op	       8 allocs/op
BenchmarkCCMEncrypt/016B-8         	 3916388	       322.6 ns/op	  49.59 MB/s	     688 B/op	       8 allocs/op
BenchmarkCCMEncrypt/016B-8         	 4132633	       284.3 ns/op	  56.28 MB/s	     688 B/op	       8 allocs/op
BenchmarkCCMEncrypt/016B-8         	 3285493	       390.1 ns/op	  41.02 MB/s	     688 B/op	       8 allocs/op
BenchmarkCCMEncrypt/016B-8         	 4306656	       270.2 ns/op	  59.21 MB/s	     688 B/op	       8 allocs/op
BenchmarkCCMEncrypt/016B-8         	 4550026	       271.6 ns/op	  58.91 MB/s	     688 B/op	       8 allocs/op
BenchmarkCCMEncrypt/016B-8         	 4386004	       281.5 ns/op	  56.83 MB/s	     688 B/op	       8 allocs/op
BenchmarkCCMEncrypt/016B-8         	 4235922	       281.5 ns/op	  56.83 MB/s	     688 B/op	       8 allocs/op
BenchmarkCCMEncrypt/064B-8         	 3703753	       454.7 ns/op	 140.76 MB/s	     784 B/op	       8 allocs/op
BenchmarkCCMEncrypt/064B-8         	 3424954	       352.9 ns/op	 181.36 MB/s	     784 B/op	       8 allocs/op
BenchmarkCCMEncrypt/064B-8         	 3581212	       341.1 ns/op	 187.64 MB/s	     784 B/op	       8 allocs/op
BenchmarkCCMEncrypt/064B-8         	 3138650	       436.2 ns/op	 146.72 MB/s	     784 B/op	       8 allocs/op
BenchmarkCCMEncrypt/064B-8         	 3400231	       344.0 ns/op	 186.06 MB/s	     784 B/op	       8 allocs/op
BenchmarkCCMEncrypt/064B-8         	 3331268	       410.0 ns/op	 156.08 MB/s	     784 B/op	       8 allocs/op
BenchmarkCCMEncrypt/064B-8         	 3733701	       334.9 ns/op	 191.13 MB/s	     784 B/op	       8 allocs/op
BenchmarkCCMEncrypt/064B-8         	 3557928	       335.2 ns/op	 190.94 MB/s	     784 B/op	       8 allocs/op
BenchmarkCCMEncrypt/064B-8         	 3739278	       334.0 ns/op	 191.62 MB/s	     784 B/op	       8 allocs/op
