goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3783729	       314.3 ns/op	  50.91 MB/s	      96 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3853819	       314.0 ns/op	  50.95 MB/s	      96 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3795080	       318.1 ns/op	  50.29 MB/s	      96 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3843639	       319.5 ns/op	  50.07 MB/s	      96 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3755108	       316.9 ns/op	  50.49 MB/s	      96 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3863764	       312.8 ns/op	  51.15 MB/s	      96 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3835003	       317.8 ns/op	  50.35 MB/s	      96 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3736032	       313.3 ns/op	  51.07 MB/s	      96 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3718507	       314.8 ns/op	  50.83 MB/s	      96 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3840571	       312.6 ns/op	  51.18 MB/s	      96 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3297535	       360.4 ns/op	 177.60 MB/s	     192 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3365022	       358.8 ns/op	 178.37 MB/s	     192 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3344055	       358.1 ns/op	 178.70 MB/s	     192 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3328881	       366.0 ns/op	 174.84 MB/s	     192 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3379196	       354.9 ns/op	 180.34 MB/s	     192 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3394314	       359.2 ns/op	 178.19 MB/s	     192 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3011552	       414.6 ns/op	 154.37 MB/s	     192 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3277084	       362.7 ns/op	 176.48 MB/s	     192 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3273538	       359.0 ns/op	 178.30 MB/s	     192 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3366968	       483.7 ns/op	 132.30 MB/s	     192 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/256B-8         	 1420996	       744.9 ns/op	 343.65 MB/s	     576 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/256B-8         	 1502244	       899.9 ns/op	 284.46 MB/s	     576 B/op	       4 allocs/op
