goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3746961	       321.5 ns/op	  49.77 MB/s	      96 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3904318	       319.1 ns/op	  50.14 MB/s	      96 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3847647	       306.5 ns/op	  52.20 MB/s	      96 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3933524	       307.5 ns/op	  52.04 MB/s	      96 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3920313	       320.9 ns/op	  49.86 MB/s	      96 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3691252	       345.4 ns/op	  46.32 MB/s	      96 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3681100	       310.3 ns/op	  51.56 MB/s	      96 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3917750	       308.7 ns/op	  51.84 MB/s	      96 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3930883	       309.1 ns/op	  51.76 MB/s	      96 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3829796	       332.1 ns/op	  48.18 MB/s	      96 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3289701	       358.5 ns/op	 178.55 MB/s	     192 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3376918	       394.1 ns/op	 162.39 MB/s	     192 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3398804	       368.8 ns/op	 173.52 MB/s	     192 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3355174	       369.3 ns/op	 173.32 MB/s	     192 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3305361	       375.5 ns/op	 170.45 MB/s	     192 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3359529	       359.6 ns/op	 177.95 MB/s	     192 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3304371	       353.4 ns/op	 181.08 MB/s	     192 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3404726	       356.4 ns/op	 179.59 MB/s	     192 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3458826	       347.4 ns/op	 184.23 MB/s	     192 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3261334	       360.5 ns/op	 177.52 MB/s	     192 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/256B-8         	 1669387	       714.7 ns/op	 358.21 MB/s	     576 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/256B-8         	 1672548	       719.4 ns/op	 355.84 MB/s	     576 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/256B-8         	 1673044	       731.6 ns/op	 349.92 MB/s	     576 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/256B-8         	 1590170	       719.9 ns/op	 355.62 MB/s	     576 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/256B-8         	 1632109	       725.9 ns/op	 352.67 MB/s	     576 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/256B-8         	 1636569	       718.3 ns/op	 356.39 MB/s	     576 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/256B-8         	 1564500	       793.5 ns/op	 322.60 MB/s	     576 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/256B-8         	 1538392	       728.9 ns/op	 351.23 MB/s	     576 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/256B-8         	 1657618	       748.2 ns/op	 342.17 MB/s	     576 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/256B-8         	 1570291	       721.7 ns/op	 354.70 MB/s	     576 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/512B-8         	 1000000	      1102 ns/op	 464.45 MB/s	    1120 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/512B-8         	  914604	      1112 ns/op	 460.50 MB/s	    1120 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/512B-8         	 1000000	      1098 ns/op	 466.38 MB/s	    1120 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/512B-8         	 1000000	      1084 ns/op	 472.11 MB/s	    1120 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/512B-8         	 1000000	      1056 ns/op	 484.95 MB/s	    1120 B/op	       4 allocs/op
