goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3750696	       321.3 ns/op	  49.80 MB/s	      80 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3794479	       340.6 ns/op	  46.97 MB/s	      80 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3483654	       339.0 ns/op	  47.20 MB/s	      80 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3728798	       318.8 ns/op	  50.19 MB/s	      80 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3781443	       318.9 ns/op	  50.17 MB/s	      80 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3784159	       319.1 ns/op	  50.14 MB/s	      80 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3775251	       317.4 ns/op	  50.41 MB/s	      80 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3765397	       317.1 ns/op	  50.45 MB/s	      80 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3771285	       317.3 ns/op	  50.43 MB/s	      80 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3754177	       317.8 ns/op	  50.35 MB/s	      80 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3388233	       352.9 ns/op	 181.37 MB/s	     176 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3357081	       353.4 ns/op	 181.08 MB/s	     176 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3396213	       355.8 ns/op	 179.87 MB/s	     176 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3420828	       354.6 ns/op	 180.51 MB/s	     176 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3385093	       356.8 ns/op	 179.36 MB/s	     176 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3378322	       353.6 ns/op	 181.01 MB/s	     176 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3429600	       352.8 ns/op	 181.42 MB/s	     176 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 2964613	       351.6 ns/op	 182.05 MB/s	     176 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3380288	       352.9 ns/op	 181.37 MB/s	     176 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3336598	       353.5 ns/op	 181.07 MB/s	     176 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/256B-8         	 1674330	       732.1 ns/op	 349.69 MB/s	     560 B/op	       3 allocs/op
