goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3682927	       330.7 ns/op	  48.38 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3639655	       327.3 ns/op	  48.88 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3724419	       321.0 ns/op	  49.84 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3700333	       330.0 ns/op	  48.48 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3523083	       326.9 ns/op	  48.95 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3691455	       332.0 ns/op	  48.20 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3694351	       324.0 ns/op	  49.38 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3731043	       321.6 ns/op	  49.75 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3688056	       320.8 ns/op	  49.87 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/016B-8         	 3746874	       327.8 ns/op	  48.81 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3283629	       366.5 ns/op	 174.63 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3330709	       363.8 ns/op	 175.92 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3318576	       375.6 ns/op	 170.41 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3309889	       374.8 ns/op	 170.75 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3272524	       364.3 ns/op	 175.70 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3297433	       363.6 ns/op	 176.02 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3310921	       396.8 ns/op	 161.27 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 3121410	       392.5 ns/op	 163.06 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/064B-8         	 2781592	       389.8 ns/op	 164.19 MB/s	     208 B/op	       4 allocs/op
