goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3929191	       330.9 ns/op	  48.35 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3885751	       318.4 ns/op	  50.25 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3790998	       334.1 ns/op	  47.89 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3452712	       318.4 ns/op	  50.25 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3797898	       312.7 ns/op	  51.17 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3919458	       317.2 ns/op	  50.44 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3316393	       311.4 ns/op	  51.38 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3963213	       315.7 ns/op	  50.68 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3825493	       345.0 ns/op	  46.38 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3387019	       335.1 ns/op	  47.75 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 2791692	       584.9 ns/op	 109.41 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 2687174	       413.3 ns/op	 154.83 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3133950	       349.4 ns/op	 183.15 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3389115	       344.8 ns/op	 185.63 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3504669	       348.4 ns/op	 183.69 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3300975	       357.6 ns/op	 178.98 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3304677	       354.7 ns/op	 180.42 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3535935	       341.9 ns/op	 187.20 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3516582	       342.6 ns/op	 186.82 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3485348	       344.7 ns/op	 185.65 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2824964	       415.3 ns/op	 308.24 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2838597	       414.4 ns/op	 308.88 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2961500	       423.0 ns/op	 302.57 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2931170	       415.2 ns/op	 308.30 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2869935	       412.6 ns/op	 310.26 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2904775	       410.8 ns/op	 311.58 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2890672	       411.0 ns/op	 311.46 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2908513	       423.3 ns/op	 302.38 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2853086	       417.6 ns/op	 306.52 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2906673	       446.6 ns/op	 286.64 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1577504	       803.5 ns/op	 318.60 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1683962	       695.2 ns/op	 368.25 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1723407	       701.8 ns/op	 364.79 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1716664	       710.4 ns/op	 360.38 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1733246	       698.1 ns/op	 366.69 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1710820	       774.6 ns/op	 330.50 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1707816	       704.9 ns/op	 363.15 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1717350	       696.8 ns/op	 367.40 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1713535	       697.2 ns/op	 367.21 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1729224	       701.5 ns/op	 364.95 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1045 ns/op	 489.84 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1038 ns/op	 493.17 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1034 ns/op	 495.22 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1044 ns/op	 490.35 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1045 ns/op	 490.07 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1140 ns/op	 449.06 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1063 ns/op	 481.79 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1064 ns/op	 481.16 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1049 ns/op	 488.16 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1096 ns/op	 466.94 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  799788	      1560 ns/op	 512.69 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  787472	      1570 ns/op	 509.42 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  749716	      1427 ns/op	 560.42 MB/s	    1824 B/op	       4 allocs/op
