goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3654070	       327.5 ns/op	  48.86 MB/s	     144 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3401445	       335.6 ns/op	  47.67 MB/s	     144 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3699603	       320.9 ns/op	  49.87 MB/s	     144 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3807663	       316.3 ns/op	  50.59 MB/s	     144 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3215854	       367.3 ns/op	  43.56 MB/s	     144 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3344871	       358.8 ns/op	  44.60 MB/s	     144 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3553990	       319.5 ns/op	  50.08 MB/s	     144 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3751722	       326.7 ns/op	  48.98 MB/s	     144 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3712404	       322.4 ns/op	  49.63 MB/s	     144 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3794773	       317.4 ns/op	  50.41 MB/s	     144 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3351164	       358.9 ns/op	 178.31 MB/s	     288 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3385996	       360.1 ns/op	 177.75 MB/s	     288 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3393506	       358.1 ns/op	 178.71 MB/s	     288 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3325118	       358.9 ns/op	 178.34 MB/s	     288 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3107139	       373.9 ns/op	 171.18 MB/s	     288 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3090006	       367.0 ns/op	 174.40 MB/s	     288 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3132502	       367.7 ns/op	 174.05 MB/s	     288 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3084177	       423.2 ns/op	 151.25 MB/s	     288 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 2999404	       393.2 ns/op	 162.77 MB/s	     288 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3080041	       384.7 ns/op	 166.38 MB/s	     288 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2448668	       461.7 ns/op	 277.26 MB/s	     480 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2139795	       491.1 ns/op	 260.62 MB/s	     480 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2511496	       455.4 ns/op	 281.07 MB/s	     480 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2645515	       487.2 ns/op	 262.73 MB/s	     480 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2548846	       451.1 ns/op	 283.78 MB/s	     480 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2566916	       482.8 ns/op	 265.15 MB/s	     480 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2613516	       474.1 ns/op	 269.98 MB/s	     480 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2142460	       604.7 ns/op	 211.69 MB/s	     480 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2082189	       488.3 ns/op	 262.13 MB/s	     480 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2637950	       469.9 ns/op	 272.39 MB/s	     480 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1583712	       788.0 ns/op	 324.87 MB/s	     896 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1525570	       791.5 ns/op	 323.42 MB/s	     896 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1555405	       768.6 ns/op	 333.07 MB/s	     896 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1592948	       771.7 ns/op	 331.75 MB/s	     896 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1581854	       763.7 ns/op	 335.20 MB/s	     896 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1579147	       766.0 ns/op	 334.22 MB/s	     896 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1604437	       762.0 ns/op	 335.94 MB/s	     896 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1605638	       762.1 ns/op	 335.93 MB/s	     896 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1554531	       752.4 ns/op	 340.22 MB/s	     896 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1597100	       764.3 ns/op	 334.93 MB/s	     896 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1111 ns/op	 460.66 MB/s	    1760 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	  914470	      1126 ns/op	 454.61 MB/s	    1760 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1134 ns/op	 451.39 MB/s	    1760 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1235 ns/op	 414.46 MB/s	    1760 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1148 ns/op	 446.07 MB/s	    1760 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1170 ns/op	 437.46 MB/s	    1760 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1287 ns/op	 397.94 MB/s	    1760 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	  975466	      1226 ns/op	 417.60 MB/s	    1760 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1131 ns/op	 452.60 MB/s	    1760 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1113 ns/op	 460.22 MB/s	    1760 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  805350	      1513 ns/op	 528.66 MB/s	    2720 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  791373	      1544 ns/op	 518.02 MB/s	    2720 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  774530	      1551 ns/op	 515.88 MB/s	    2720 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  789790	      1525 ns/op	 524.60 MB/s	    2720 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  791103	      1520 ns/op	 526.29 MB/s	    2720 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  797350	      1533 ns/op	 521.72 MB/s	    2720 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  783446	      1519 ns/op	 526.60 MB/s	    2720 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  791983	      1529 ns/op	 523.22 MB/s	    2720 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  789819	      1588 ns/op	 503.85 MB/s	    2720 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  779312	      1611 ns/op	 496.44 MB/s	    2720 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  571857	      1988 ns/op	 515.17 MB/s	    3488 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  576921	      1972 ns/op	 519.33 MB/s	    3488 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  620095	      2006 ns/op	 510.59 MB/s	    3488 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  641136	      1962 ns/op	 521.85 MB/s	    3488 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  627126	      2135 ns/op	 479.72 MB/s	    3488 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  629343	      2211 ns/op	 463.06 MB/s	    3488 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  631586	      2044 ns/op	 500.86 MB/s	    3488 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  623036	      2073 ns/op	 494.03 MB/s	    3488 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  642085	      1949 ns/op	 525.33 MB/s	    3488 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  627802	      2068 ns/op	 495.10 MB/s	    3488 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  555602	      2001 ns/op	 599.82 MB/s	    3872 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  616104	      1950 ns/op	 615.41 MB/s	    3872 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  628004	      2293 ns/op	 523.24 MB/s	    3872 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  552993	      3025 ns/op	 396.70 MB/s	    3872 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  549992	      2071 ns/op	 579.43 MB/s	    3872 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  594684	      2056 ns/op	 583.55 MB/s	    3872 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  600578	      2041 ns/op	 587.83 MB/s	    3872 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  593857	      2125 ns/op	 564.70 MB/s	    3872 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  586842	      2091 ns/op	 573.90 MB/s	    3872 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  576837	      2071 ns/op	 579.44 MB/s	    3872 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  432313	      2874 ns/op	 521.91 MB/s	    4640 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  463149	      2639 ns/op	 568.37 MB/s	    4640 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  459915	      2669 ns/op	 561.94 MB/s	    4640 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  456904	      2592 ns/op	 578.81 MB/s	    4640 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  468578	      2580 ns/op	 581.41 MB/s	    4640 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  466892	      2619 ns/op	 572.78 MB/s	    4640 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  450438	      2637 ns/op	 568.88 MB/s	    4640 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  461390	      2933 ns/op	 511.41 MB/s	    4640 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  488238	      2600 ns/op	 576.90 MB/s	    4640 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  455938	      2635 ns/op	 569.18 MB/s	    4640 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  192122	      6519 ns/op	 628.31 MB/s	   14624 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  184242	      6328 ns/op	 647.26 MB/s	   14624 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  189343	      6931 ns/op	 591.00 MB/s	   14624 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  150072	     12497 ns/op	 327.76 MB/s	   14624 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  154298	     14474 ns/op	 282.99 MB/s	   14624 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  151934	      9652 ns/op	 424.36 MB/s	   14624 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  185518	      8090 ns/op	 506.28 MB/s	   14624 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  153412	      8902 ns/op	 460.10 MB/s	   14624 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  140634	     11782 ns/op	 347.66 MB/s	   14624 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  166887	      7701 ns/op	 531.86 MB/s	   14624 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	  100837	     12377 ns/op	 661.85 MB/s	   28448 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	   84061	     12077 ns/op	 678.31 MB/s	   28448 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	   97512	     13115 ns/op	 624.61 MB/s	   28448 B/op	       5 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	   92534	     13383 ns/op	 612.11 MB/s	   28448 B/op	       5 allocs/op
