goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3108296	       334.6 ns/op	  47.81 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3409975	       336.0 ns/op	  47.61 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3870422	       313.6 ns/op	  51.02 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3835803	       337.6 ns/op	  47.39 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3529516	       416.4 ns/op	  38.43 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3144765	       350.3 ns/op	  45.68 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3404275	       344.4 ns/op	  46.45 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3506647	       345.1 ns/op	  46.36 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3603128	       357.9 ns/op	  44.70 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3722586	       317.9 ns/op	  50.33 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3401253	       351.6 ns/op	 182.04 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3461748	       351.3 ns/op	 182.19 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3383047	       355.8 ns/op	 179.88 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3281931	       358.8 ns/op	 178.38 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3198664	       361.4 ns/op	 177.09 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3390858	       790.3 ns/op	  80.98 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 2729870	       602.7 ns/op	 106.18 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3192493	       362.9 ns/op	 176.34 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3087291	       360.2 ns/op	 177.68 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3092014	       353.6 ns/op	 181.00 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2901172	       416.0 ns/op	 307.72 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2895015	       416.4 ns/op	 307.40 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2707626	       426.7 ns/op	 299.94 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2864820	       441.8 ns/op	 289.73 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2795421	       423.2 ns/op	 302.47 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2572345	       456.7 ns/op	 280.26 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2839609	       458.1 ns/op	 279.39 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2715458	       423.9 ns/op	 301.96 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2856457	       422.1 ns/op	 303.22 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2816598	       462.2 ns/op	 276.94 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1493992	       746.2 ns/op	 343.09 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1710787	       769.7 ns/op	 332.60 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1699023	       751.8 ns/op	 340.52 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1677675	       794.3 ns/op	 322.31 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1536642	       734.4 ns/op	 348.58 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1582304	       732.5 ns/op	 349.49 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1724565	       707.9 ns/op	 361.65 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1618196	       727.5 ns/op	 351.90 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1643990	       709.9 ns/op	 360.63 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1694318	       722.6 ns/op	 354.27 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1052 ns/op	 486.71 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1048 ns/op	 488.40 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1057 ns/op	 484.41 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1069 ns/op	 478.77 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1135 ns/op	 450.98 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1134 ns/op	 451.64 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1058 ns/op	 484.02 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1055 ns/op	 485.32 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1082 ns/op	 473.31 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	  973893	      1065 ns/op	 480.62 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  845650	      1410 ns/op	 567.58 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  824048	      1410 ns/op	 567.22 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  820491	      1541 ns/op	 519.04 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  752733	      1643 ns/op	 486.94 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  794541	      1442 ns/op	 554.77 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  834888	      1414 ns/op	 565.84 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  868015	      1405 ns/op	 569.22 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  862130	      1421 ns/op	 563.03 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  845476	      1408 ns/op	 567.99 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  861250	      1423 ns/op	 562.31 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  711486	      1726 ns/op	 593.21 MB/s	    2337 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  693907	      1728 ns/op	 592.76 MB/s	    2337 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  697070	      1730 ns/op	 591.86 MB/s	    2336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  708068	      1735 ns/op	 590.29 MB/s	    2337 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  699435	      1730 ns/op	 591.91 MB/s	    2337 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  710144	      1748 ns/op	 585.73 MB/s	    2336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  681638	      1742 ns/op	 587.97 MB/s	    2337 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  712059	      1729 ns/op	 592.34 MB/s	    2336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  700082	      1736 ns/op	 589.71 MB/s	    2336 B/op	       4 allocs/op
