goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3750530	       313.2 ns/op	  51.08 MB/s	      96 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3859281	       338.0 ns/op	  47.34 MB/s	      96 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3904137	       336.4 ns/op	  47.57 MB/s	      96 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3425064	       327.5 ns/op	  48.86 MB/s	      96 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3929442	       303.9 ns/op	  52.65 MB/s	      96 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3972880	       303.4 ns/op	  52.74 MB/s	      96 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3869421	       302.4 ns/op	  52.92 MB/s	      96 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3996609	       301.3 ns/op	  53.11 MB/s	      96 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3937704	       301.9 ns/op	  53.00 MB/s	      96 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3948540	       308.0 ns/op	  51.95 MB/s	      96 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3396156	       346.7 ns/op	 184.62 MB/s	     192 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3466819	       346.2 ns/op	 184.84 MB/s	     192 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3438608	       346.3 ns/op	 184.80 MB/s	     192 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3508663	       344.1 ns/op	 186.02 MB/s	     192 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3458150	       342.4 ns/op	 186.89 MB/s	     192 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3516249	       342.7 ns/op	 186.77 MB/s	     192 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3518000	       349.8 ns/op	 182.97 MB/s	     192 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3521668	       341.3 ns/op	 187.51 MB/s	     192 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3508044	       397.0 ns/op	 161.22 MB/s	     192 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 2993816	       368.5 ns/op	 173.66 MB/s	     192 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2900656	       411.5 ns/op	 311.09 MB/s	     320 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2897284	       411.6 ns/op	 311.01 MB/s	     320 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2935600	       411.4 ns/op	 311.10 MB/s	     320 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2981361	       411.2 ns/op	 311.29 MB/s	     320 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2934865	       410.9 ns/op	 311.48 MB/s	     320 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2973156	       410.6 ns/op	 311.75 MB/s	     320 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2857720	       405.6 ns/op	 315.58 MB/s	     320 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2960074	       421.1 ns/op	 303.98 MB/s	     320 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2899440	       408.0 ns/op	 313.75 MB/s	     320 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2959342	       404.2 ns/op	 316.68 MB/s	     320 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1752558	       695.4 ns/op	 368.15 MB/s	     592 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1747441	       693.2 ns/op	 369.29 MB/s	     592 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1732562	       689.0 ns/op	 371.57 MB/s	     592 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1752294	       691.8 ns/op	 370.05 MB/s	     592 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1742976	       692.6 ns/op	 369.63 MB/s	     592 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1750810	       708.1 ns/op	 361.51 MB/s	     592 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1488270	       717.9 ns/op	 356.59 MB/s	     592 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1722655	       781.6 ns/op	 327.52 MB/s	     592 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1728387	       761.6 ns/op	 336.14 MB/s	     592 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1383664	       734.5 ns/op	 348.52 MB/s	     592 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1040 ns/op	 492.48 MB/s	    1168 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1147 ns/op	 446.50 MB/s	    1168 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1043325	      1043 ns/op	 491.03 MB/s	    1168 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1037 ns/op	 493.78 MB/s	    1168 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1291 ns/op	 396.74 MB/s	    1168 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	  655627	      2187 ns/op	 234.06 MB/s	    1168 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1029 ns/op	 497.62 MB/s	    1168 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1206 ns/op	 424.65 MB/s	    1168 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1091 ns/op	 469.20 MB/s	    1168 B/op	       3 allocs/op
