goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3881402	       314.8 ns/op	  50.82 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3857288	       342.7 ns/op	  46.68 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3779331	       322.5 ns/op	  49.62 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3788602	       317.0 ns/op	  50.47 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3848020	       312.9 ns/op	  51.13 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3769131	       319.2 ns/op	  50.12 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3231500	       318.5 ns/op	  50.24 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3843331	       322.0 ns/op	  49.69 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3925902	       308.9 ns/op	  51.80 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/016B-8         	 3843229	       333.0 ns/op	  48.05 MB/s	     112 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3494043	       345.9 ns/op	 185.00 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3450735	       345.9 ns/op	 185.04 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3482168	       345.6 ns/op	 185.18 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3463710	       347.9 ns/op	 183.94 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3408501	       349.6 ns/op	 183.05 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3419850	       376.2 ns/op	 170.14 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3146752	       386.9 ns/op	 165.41 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 2903865	       387.7 ns/op	 165.06 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3393249	       355.0 ns/op	 180.28 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/064B-8         	 3458244	       350.7 ns/op	 182.51 MB/s	     208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2775751	       430.4 ns/op	 297.41 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2881686	       432.9 ns/op	 295.66 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2875652	       414.5 ns/op	 308.80 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2865367	       419.1 ns/op	 305.41 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2891488	       416.6 ns/op	 307.28 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2855582	       419.0 ns/op	 305.47 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2886265	       428.7 ns/op	 298.60 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2798370	       427.7 ns/op	 299.26 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2587564	       429.3 ns/op	 298.19 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/128B-8         	 2828796	       440.8 ns/op	 290.39 MB/s	     336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1629328	       798.8 ns/op	 320.49 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1658377	       736.9 ns/op	 347.38 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1651302	       735.8 ns/op	 347.93 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1680782	       765.5 ns/op	 334.42 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1284890	       810.0 ns/op	 316.05 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1406286	       850.9 ns/op	 300.85 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1630087	       790.5 ns/op	 323.85 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1641946	       772.2 ns/op	 331.52 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1592748	       737.2 ns/op	 347.27 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/256B-8         	 1642030	       721.2 ns/op	 354.98 MB/s	     608 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1123 ns/op	 456.08 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1080 ns/op	 474.27 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1156 ns/op	 442.88 MB/s	    1184 B/op	       4 allocs/op
