goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkGCMDecrypt/016B-8         	11016822	        96.33 ns/op	 166.09 MB/s	      96 B/op	       3 allocs/op
BenchmarkGCMDecrypt/016B-8         	11903914	        96.37 ns/op	 166.02 MB/s	      96 B/op	       3 allocs/op
BenchmarkGCMDecrypt/016B-8         	12664600	        95.50 ns/op	 167.54 MB/s	      96 B/op	       3 allocs/op
BenchmarkGCMDecrypt/016B-8         	12617577	        95.30 ns/op	 167.89 MB/s	      96 B/op	       3 allocs/op
BenchmarkGCMDecrypt/016B-8         	12456105	        95.92 ns/op	 166.80 MB/s	      96 B/op	       3 allocs/op
BenchmarkGCMDecrypt/016B-8         	12549948	        98.40 ns/op	 162.60 MB/s	      96 B/op	       3 allocs/op
BenchmarkGCMDecrypt/016B-8         	12173960	        96.13 ns/op	 166.44 MB/s	      96 B/op	       3 allocs/op
BenchmarkGCMDecrypt/016B-8         	12619651	       101.8 ns/op	 157.25 MB/s	      96 B/op	       3 allocs/op
BenchmarkGCMDecrypt/016B-8         	11417343	        97.53 ns/op	 164.05 MB/s	      96 B/op	       3 allocs/op
BenchmarkGCMDecrypt/016B-8         	12008496	        96.25 ns/op	 166.23 MB/s	      96 B/op	       3 allocs/op
BenchmarkGCMDecrypt/064B-8         	 9273074	       135.2 ns/op	 473.30 MB/s	     144 B/op	       3 allocs/op
BenchmarkGCMDecrypt/064B-8         	 8491664	       144.3 ns/op	 443.63 MB/s	     144 B/op	       3 allocs/op
BenchmarkGCMDecrypt/064B-8         	 7453032	       189.9 ns/op	 337.08 MB/s	     144 B/op	       3 allocs/op
BenchmarkGCMDecrypt/064B-8         	 8558287	       131.9 ns/op	 485.16 MB/s	     144 B/op	       3 allocs/op
BenchmarkGCMDecrypt/064B-8         	 9159730	       130.3 ns/op	 491.21 MB/s	     144 B/op	       3 allocs/op
BenchmarkGCMDecrypt/064B-8         	 9323392	       129.7 ns/op	 493.36 MB/s	     144 B/op	       3 allocs/op
BenchmarkGCMDecrypt/064B-8         	 9051274	       139.8 ns/op	 457.67 MB/s	     144 B/op	       3 allocs/op
BenchmarkGCMDecrypt/064B-8         	 8630084	       131.0 ns/op	 488.57 MB/s	     144 B/op	       3 allocs/op
BenchmarkGCMDecrypt/064B-8         	 9340180	       129.0 ns/op	 496.06 MB/s	     144 B/op	       3 allocs/op
BenchmarkGCMDecrypt/064B-8         	 9162356	       134.3 ns/op	 476.70 MB/s	     144 B/op	       3 allocs/op
BenchmarkGCMDecrypt/256B-8         	 8066457	       157.2 ns/op	1628.51 MB/s	     352 B/op	       3 allocs/op
BenchmarkGCMDecrypt/256B-8         	 8289460	       171.5 ns/op	1493.14 MB/s	     352 B/op	       3 allocs/op
BenchmarkGCMDecrypt/256B-8         	 7339785	       158.5 ns/op	1615.38 MB/s	     352 B/op	       3 allocs/op
BenchmarkGCMDecrypt/256B-8         	 7867284	       179.5 ns/op	1426.15 MB/s	     352 B/op	       3 allocs/op
