goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkGCMEncrypt/016B-8         	 9572824	       120.0 ns/op	 133.30 MB/s	     112 B/op	       3 allocs/op
BenchmarkGCMEncrypt/016B-8         	11351815	       135.7 ns/op	 117.94 MB/s	     112 B/op	       3 allocs/op
BenchmarkGCMEncrypt/016B-8         	10641130	       113.0 ns/op	 141.54 MB/s	     112 B/op	       3 allocs/op
BenchmarkGCMEncrypt/016B-8         	10575548	       109.7 ns/op	 145.87 MB/s	     112 B/op	       3 allocs/op
BenchmarkGCMEncrypt/016B-8         	11024787	       108.6 ns/op	 147.29 MB/s	     112 B/op	       3 allocs/op
BenchmarkGCMEncrypt/016B-8         	10885686	       108.7 ns/op	 147.13 MB/s	     112 B/op	       3 allocs/op
BenchmarkGCMEncrypt/016B-8         	11138402	       107.7 ns/op	 148.59 MB/s	     112 B/op	       3 allocs/op
BenchmarkGCMEncrypt/016B-8         	11302990	       108.3 ns/op	 147.77 MB/s	     112 B/op	       3 allocs/op
BenchmarkGCMEncrypt/016B-8         	11185533	       110.3 ns/op	 145.04 MB/s	     112 B/op	       3 allocs/op
BenchmarkGCMEncrypt/016B-8         	11324916	       108.8 ns/op	 147.07 MB/s	     112 B/op	       3 allocs/op
BenchmarkGCMEncrypt/064B-8         	 8053041	       148.0 ns/op	 432.47 MB/s	     208 B/op	       3 allocs/op
BenchmarkGCMEncrypt/064B-8         	 7859139	       148.9 ns/op	 429.86 MB/s	     208 B/op	       3 allocs/op
BenchmarkGCMEncrypt/064B-8         	 7990267	       147.6 ns/op	 433.69 MB/s	     208 B/op	       3 allocs/op
BenchmarkGCMEncrypt/064B-8         	 8335713	       145.2 ns/op	 440.76 MB/s	     208 B/op	       3 allocs/op
BenchmarkGCMEncrypt/064B-8         	 7842735	       144.5 ns/op	 442.92 MB/s	     208 B/op	       3 allocs/op
BenchmarkGCMEncrypt/064B-8         	 8356266	       145.7 ns/op	 439.37 MB/s	     208 B/op	       3 allocs/op
BenchmarkGCMEncrypt/064B-8         	 7854685	       152.7 ns/op	 419.07 MB/s	     208 B/op	       3 allocs/op
BenchmarkGCMEncrypt/064B-8         	 8165509	       146.0 ns/op	 438.38 MB/s	     208 B/op	       3 allocs/op
BenchmarkGCMEncrypt/064B-8         	 8207996	       147.4 ns/op	 434.10 MB/s	     208 B/op	       3 allocs/op
BenchmarkGCMEncrypt/064B-8         	 8225534	       145.9 ns/op	 438.77 MB/s	     208 B/op	       3 allocs/op
BenchmarkGCMEncrypt/128B-8         	 8195515	       144.6 ns/op	 884.91 MB/s	     336 B/op	       3 allocs/op
BenchmarkGCMEncrypt/128B-8         	 8346332	       141.8 ns/op	 902.98 MB/s	     336 B/op	       3 allocs/op
BenchmarkGCMEncrypt/128B-8         	 8434977	       143.2 ns/op	 894.11 MB/s	     336 B/op	       3 allocs/op
BenchmarkGCMEncrypt/128B-8         	 8459800	       158.8 ns/op	 806.12 MB/s	     336 B/op	       3 allocs/op
BenchmarkGCMEncrypt/128B-8         	 7581861	       181.3 ns/op	 705.82 MB/s	     336 B/op	       3 allocs/op
BenchmarkGCMEncrypt/128B-8         	 6187119	       164.0 ns/op	 780.59 MB/s	     336 B/op	       3 allocs/op
BenchmarkGCMEncrypt/128B-8         	 7848480	       146.1 ns/op	 875.96 MB/s	     336 B/op	       3 allocs/op
BenchmarkGCMEncrypt/128B-8         	 8226586	       144.8 ns/op	 884.16 MB/s	     336 B/op	       3 allocs/op
BenchmarkGCMEncrypt/128B-8         	 8323455	       142.2 ns/op	 900.22 MB/s	     336 B/op	       3 allocs/op
BenchmarkGCMEncrypt/128B-8         	 8432630	       143.2 ns/op	 893.85 MB/s	     336 B/op	       3 allocs/op
BenchmarkGCMEncrypt/256B-8         	 6422848	       188.4 ns/op	1358.55 MB/s	     624 B/op	       3 allocs/op
BenchmarkGCMEncrypt/256B-8         	 6343033	       189.4 ns/op	1351.39 MB/s	     624 B/op	       3 allocs/op
BenchmarkGCMEncrypt/256B-8         	 6472450	       190.5 ns/op	1343.54 MB/s	     624 B/op	       3 allocs/op
BenchmarkGCMEncrypt/256B-8         	 6011716	       192.6 ns/op	1329.05 MB/s	     624 B/op	       3 allocs/op
BenchmarkGCMEncrypt/256B-8         	 6010648	       191.1 ns/op	1339.36 MB/s	     624 B/op	       3 allocs/op
BenchmarkGCMEncrypt/256B-8         	 6470715	       186.9 ns/op	1369.68 MB/s	     624 B/op	       3 allocs/op
BenchmarkGCMEncrypt/256B-8         	 6441906	       187.5 ns/op	1365.11 MB/s	     624 B/op	       3 allocs/op
BenchmarkGCMEncrypt/256B-8         	 6269362	       189.1 ns/op	1353.81 MB/s	     624 B/op	       3 allocs/op
BenchmarkGCMEncrypt/256B-8         	 6408867	       192.3 ns/op	1331.05 MB/s	     624 B/op	       3 allocs/op
BenchmarkGCMEncrypt/256B-8         	 6401378	       186.7 ns/op	1371.51 MB/s	     624 B/op	       3 allocs/op
BenchmarkGCMEncrypt/512B-8         	 4262251	       285.5 ns/op	1793.13 MB/s	    1168 B/op	       3 allocs/op
BenchmarkGCMEncrypt/512B-8         	 3644974	       295.7 ns/op	1731.65 MB/s	    1168 B/op	       3 allocs/op
BenchmarkGCMEncrypt/512B-8         	 4196301	       281.1 ns/op	1821.44 MB/s	    1168 B/op	       3 allocs/op
BenchmarkGCMEncrypt/512B-8         	 4302709	       284.8 ns/op	1797.58 MB/s	    1168 B/op	       3 allocs/op
BenchmarkGCMEncrypt/512B-8         	 4180186	       287.9 ns/op	1778.30 MB/s	    1168 B/op	       3 allocs/op
BenchmarkGCMEncrypt/512B-8         	 3878116	       300.5 ns/op	1704.05 MB/s	    1168 B/op	       3 allocs/op
BenchmarkGCMEncrypt/512B-8         	 4143384	       288.1 ns/op	1777.02 MB/s	    1168 B/op	       3 allocs/op
BenchmarkGCMEncrypt/512B-8         	 4143382	       385.2 ns/op	1329.11 MB/s	    1168 B/op	       3 allocs/op
BenchmarkGCMEncrypt/512B-8         	 3186651	       314.3 ns/op	1629.10 MB/s	    1168 B/op	       3 allocs/op
BenchmarkGCMEncrypt/512B-8         	 4167380	       284.4 ns/op	1800.22 MB/s	    1168 B/op	       3 allocs/op
BenchmarkGCMEncrypt/800B-8         	 2948756	       415.5 ns/op	1925.19 MB/s	    1808 B/op	       3 allocs/op
BenchmarkGCMEncrypt/800B-8         	 2813536	       416.7 ns/op	1920.03 MB/s	    1808 B/op	       3 allocs/op
BenchmarkGCMEncrypt/800B-8         	 2694195	       423.3 ns/op	1889.79 MB/s	    1808 B/op	       3 allocs/op
BenchmarkGCMEncrypt/800B-8         	 2879954	       419.0 ns/op	1909.17 MB/s	    1808 B/op	       3 allocs/op
BenchmarkGCMEncrypt/800B-8         	 2743202	       436.2 ns/op	1834.15 MB/s	    1808 B/op	       3 allocs/op
BenchmarkGCMEncrypt/800B-8         	 2936167	       409.9 ns/op	1951.78 MB/s	    1808 B/op	       3 allocs/op
BenchmarkGCMEncrypt/800B-8         	 2893413	       407.2 ns/op	1964.75 MB/s	    1808 B/op	       3 allocs/op
