goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkGCMEncrypt/016B-8         	11210163	        93.41 ns/op	 171.29 MB/s	     112 B/op	       3 allocs/op
BenchmarkGCMEncrypt/016B-8         	12652454	        93.62 ns/op	 170.90 MB/s	     112 B/op	       3 allocs/op
BenchmarkGCMEncrypt/016B-8         	12902641	        95.15 ns/op	 168.16 MB/s	     112 B/op	       3 allocs/op
BenchmarkGCMEncrypt/016B-8         	12885651	        93.54 ns/op	 171.04 MB/s	     112 B/op	       3 allocs/op
BenchmarkGCMEncrypt/016B-8         	13077729	        92.71 ns/op	 172.58 MB/s	     112 B/op	       3 allocs/op
BenchmarkGCMEncrypt/016B-8         	13043548	        93.21 ns/op	 171.65 MB/s	     112 B/op	       3 allocs/op
BenchmarkGCMEncrypt/016B-8         	12868965	        94.54 ns/op	 169.23 MB/s	     112 B/op	       3 allocs/op
BenchmarkGCMEncrypt/016B-8         	12697634	        93.33 ns/op	 171.43 MB/s	     112 B/op	       3 allocs/op
BenchmarkGCMEncrypt/016B-8         	13072594	        92.71 ns/op	 172.58 MB/s	     112 B/op	       3 allocs/op
BenchmarkGCMEncrypt/016B-8         	11914029	       105.7 ns/op	 151.32 MB/s	     112 B/op	       3 allocs/op
BenchmarkGCMEncrypt/064B-8         	 7206561	       142.1 ns/op	 450.46 MB/s	     208 B/op	       3 allocs/op
BenchmarkGCMEncrypt/064B-8         	 7982305	       148.0 ns/op	 432.44 MB/s	     208 B/op	       3 allocs/op
BenchmarkGCMEncrypt/064B-8         	 8940872	       150.4 ns/op	 425.62 MB/s	     208 B/op	       3 allocs/op
BenchmarkGCMEncrypt/064B-8         	 7872720	       162.2 ns/op	 394.55 MB/s	     208 B/op	       3 allocs/op
BenchmarkGCMEncrypt/064B-8         	 7874019	       174.8 ns/op	 366.17 MB/s	     208 B/op	       3 allocs/op
BenchmarkGCMEncrypt/064B-8         	 7494889	       172.0 ns/op	 372.01 MB/s	     208 B/op	       3 allocs/op
BenchmarkGCMEncrypt/064B-8         	 6664368	       174.3 ns/op	 367.23 MB/s	     208 B/op	       3 allocs/op
BenchmarkGCMEncrypt/064B-8         	 8592141	       147.3 ns/op	 434.35 MB/s	     208 B/op	       3 allocs/op
BenchmarkGCMEncrypt/064B-8         	 8179036	       147.8 ns/op	 432.99 MB/s	     208 B/op	       3 allocs/op
BenchmarkGCMEncrypt/064B-8         	 8495629	       152.8 ns/op	 418.83 MB/s	     208 B/op	       3 allocs/op
BenchmarkGCMEncrypt/128B-8         	 8460777	       157.1 ns/op	 814.99 MB/s	     336 B/op	       3 allocs/op
BenchmarkGCMEncrypt/128B-8         	 7529425	       145.5 ns/op	 879.66 MB/s	     336 B/op	       3 allocs/op
BenchmarkGCMEncrypt/128B-8         	 8069056	       138.6 ns/op	 923.30 MB/s	     336 B/op	       3 allocs/op
BenchmarkGCMEncrypt/128B-8         	 8917026	       137.1 ns/op	 933.66 MB/s	     336 B/op	       3 allocs/op
BenchmarkGCMEncrypt/128B-8         	 8732676	       142.2 ns/op	 899.91 MB/s	     336 B/op	       3 allocs/op
BenchmarkGCMEncrypt/128B-8         	 8743821	       138.6 ns/op	 923.80 MB/s	     336 B/op	       3 allocs/op
BenchmarkGCMEncrypt/128B-8         	 8959951	       150.5 ns/op	 850.57 MB/s	     336 B/op	       3 allocs/op
BenchmarkGCMEncrypt/128B-8         	 7551098	       150.4 ns/op	 850.89 MB/s	     336 B/op	       3 allocs/op
BenchmarkGCMEncrypt/128B-8         	 8755430	       131.5 ns/op	 973.15 MB/s	     336 B/op	       3 allocs/op
BenchmarkGCMEncrypt/128B-8         	 9165806	       131.0 ns/op	 976.92 MB/s	     336 B/op	       3 allocs/op
BenchmarkGCMEncrypt/256B-8         	 7018609	       173.5 ns/op	1475.57 MB/s	     624 B/op	       3 allocs/op
BenchmarkGCMEncrypt/256B-8         	 6859603	       171.6 ns/op	1492.01 MB/s	     624 B/op	       3 allocs/op
BenchmarkGCMEncrypt/256B-8         	 6898100	       174.0 ns/op	1470.94 MB/s	     624 B/op	       3 allocs/op
BenchmarkGCMEncrypt/256B-8         	 7130295	       180.5 ns/op	1418.37 MB/s	     624 B/op	       3 allocs/op
BenchmarkGCMEncrypt/256B-8         	 6976048	       180.9 ns/op	1415.13 MB/s	     624 B/op	       3 allocs/op
BenchmarkGCMEncrypt/256B-8         	 6531596	       173.6 ns/op	1474.96 MB/s	     624 B/op	       3 allocs/op
BenchmarkGCMEncrypt/256B-8         	 6123718	       223.1 ns/op	1147.69 MB/s	     624 B/op	       3 allocs/op
BenchmarkGCMEncrypt/256B-8         	 4704247	       298.3 ns/op	 858.07 MB/s	     624 B/op	       3 allocs/op
BenchmarkGCMEncrypt/256B-8         	 6212034	       199.5 ns/op	1283.37 MB/s	     624 B/op	       3 allocs/op
BenchmarkGCMEncrypt/256B-8         	 6538744	       199.6 ns/op	1282.81 MB/s	     624 B/op	       3 allocs/op
BenchmarkGCMEncrypt/512B-8         	 4190271	       289.1 ns/op	1770.71 MB/s	    1168 B/op	       3 allocs/op
BenchmarkGCMEncrypt/512B-8         	 4200013	       278.4 ns/op	1838.96 MB/s	    1168 B/op	       3 allocs/op
BenchmarkGCMEncrypt/512B-8         	 4024946	       289.1 ns/op	1770.84 MB/s	    1168 B/op	       3 allocs/op
BenchmarkGCMEncrypt/512B-8         	 4181179	       295.8 ns/op	1730.66 MB/s	    1168 B/op	       3 allocs/op
BenchmarkGCMEncrypt/512B-8         	 4224396	       280.4 ns/op	1826.09 MB/s	    1168 B/op	       3 allocs/op
BenchmarkGCMEncrypt/512B-8         	 3640536	       300.0 ns/op	1706.80 MB/s	    1168 B/op	       3 allocs/op
BenchmarkGCMEncrypt/512B-8         	 4474345	       276.4 ns/op	1852.12 MB/s	    1168 B/op	       3 allocs/op
BenchmarkGCMEncrypt/512B-8         	 4363130	       274.0 ns/op	1868.56 MB/s	    1168 B/op	       3 allocs/op
BenchmarkGCMEncrypt/512B-8         	 4280881	       276.2 ns/op	1853.80 MB/s	    1168 B/op	       3 allocs/op
BenchmarkGCMEncrypt/512B-8         	 4301624	       284.8 ns/op	1798.03 MB/s	    1168 B/op	       3 allocs/op
BenchmarkGCMEncrypt/800B-8         	 3022887	       392.2 ns/op	2039.84 MB/s	    1808 B/op	       3 allocs/op
BenchmarkGCMEncrypt/800B-8         	 3049250	       415.3 ns/op	1926.44 MB/s	    1808 B/op	       3 allocs/op
BenchmarkGCMEncrypt/800B-8         	 3051444	       401.3 ns/op	1993.69 MB/s	    1808 B/op	       3 allocs/op
BenchmarkGCMEncrypt/800B-8         	 3012826	       400.4 ns/op	1998.19 MB/s	    1808 B/op	       3 allocs/op
BenchmarkGCMEncrypt/800B-8         	 2940002	       407.3 ns/op	1964.35 MB/s	    1808 B/op	       3 allocs/op
BenchmarkGCMEncrypt/800B-8         	 3078842	       421.5 ns/op	1897.92 MB/s	    1808 B/op	       3 allocs/op
BenchmarkGCMEncrypt/800B-8         	 2981925	       420.6 ns/op	1901.93 MB/s	    1808 B/op	       3 allocs/op
BenchmarkGCMEncrypt/800B-8         	 2876565	       401.2 ns/op	1994.25 MB/s	    1808 B/op	       3 allocs/op
BenchmarkGCMEncrypt/800B-8         	 3034310	       401.3 ns/op	1993.37 MB/s	    1808 B/op	       3 allocs/op
BenchmarkGCMEncrypt/800B-8         	 2203492	       544.0 ns/op	1470.61 MB/s	    1808 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1KB-8          	 2036215	       513.2 ns/op	1995.46 MB/s	    2320 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1KB-8          	 2020396	       537.8 ns/op	1903.92 MB/s	    2320 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1KB-8          	 2254160	       541.2 ns/op	1891.98 MB/s	    2320 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1KB-8          	 2300994	       503.1 ns/op	2035.32 MB/s	    2320 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1KB-8          	 2453330	       490.5 ns/op	2087.74 MB/s	    2320 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1KB-8          	 2177962	       505.5 ns/op	2025.65 MB/s	    2320 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1KB-8          	 2272122	       538.6 ns/op	1901.05 MB/s	    2320 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1KB-8          	 2413461	       629.7 ns/op	1626.07 MB/s	    2320 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1KB-8          	 2043877	       501.5 ns/op	2042.06 MB/s	    2320 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1KB-8          	 2293928	       494.5 ns/op	2070.61 MB/s	    2320 B/op	       3 allocs/op
